id,name,area_name,salary_from,salary_to,salary_gross,salary_currency,employer_name
112564663,Junior/Middle Frontend разработчик (React),Москва,,70000.0,False,RUR,Hammer Systems
112763765,"Junior front-end разработчик (TypeScript, React)",Москва,100000.0,180000.0,False,RUR,Mindbox
112783190,Инженер по охране окружающей среды,Москва,200000.0,,False,RUR,LOTS.Development
112746981,Frontend-разработчик,Москва,70000.0,,False,RUR,Aiti Guru
112620411,Главный бухгалтер,Москва,350000.0,500000.0,False,RUR,ФАЙВ ЛЕМОНС ГРУПП
111747905,Специалист контакт-центра,Москва,,80000.0,True,RUR,ПЕТЕР-СЕРВИС Спецтехнологии
112690973,Python-разработчик (Junior),Москва,100000.0,120000.0,False,RUR,Альянс
111784182,Frontend-разработчик,Москва,140000.0,,False,RUR,Милет Фэшн Групп
112489402,Главный бухгалтер,Москва,250000.0,270000.0,False,RUR,Профсейф
112695976,QA Engineer,Москва,1500.0,3300.0,True,EUR,HR Prime
112784445,Тестировщик ПО,Москва,90000.0,140000.0,False,RUR,Сфера
112545185,Младший тестировщик (Junior QA),Москва,90000.0,110000.0,False,RUR,Альянс
112089341,Руководитель отдела маркетинга и рекламы,Москва,200000.0,300000.0,False,RUR,САМОЛЕТ КОНСАЛТИНГ
111312670,Личный помощник руководителя/личный ассистент,Москва,200000.0,200000.0,False,RUR,MAAR DEVELOPMENT
112777719,Программист станков с ЧПУ,Москва,300000.0,,True,RUR,НИИКАМ
112760179,Разработчик Python,Москва,100000.0,200000.0,False,RUR,Восхождение
112440990,Руководитель проектов,Москва,450000.0,,False,RUR,WWAVE SPACE
112793387,Младший Тестировщик ПО,Москва,55000.0,55000.0,True,RUR,БИФИТ
112494402,Стажер - программист,Москва,60000.0,60000.0,True,RUR,Copperside
112750238,"Frontend-разработчик (React.js, TypeScript) Middle+/Senior",Москва,,260000.0,False,RUR,Российское общество Знание
112480285,"Junior+ Python разработчик, удаленно",Москва,60000.0,80000.0,False,RUR,е.Ком
111351666,Junior Backend Developer (Python),Москва,70000.0,,False,RUR,Effective Mobile
111856035,"Системный администратор (1, 2 линия)",Москва,90000.0,110000.0,False,RUR,Лаборатория Наносемантика
111607593,Бизнес-аналитик,Москва,200000.0,,False,RUR,Topface
112522800,Customer Support Agent,Москва,80000.0,,False,RUR,СКВИЛЛА
112590016,Специалист по документообороту,Москва,110000.0,110000.0,True,RUR,Главстрой (Москва)
112698776,Unity Developer (Junior+). Разработчик игр на Unity,Москва,200.0,,False,USD,GeeKid
112615359,Python разработчик,Москва,180000.0,350000.0,False,RUR,AlfaBit
112790802,Руководитель департамента Бизнес анализа,Москва,,500000.0,False,RUR,Work&Wolf
111345990,Начинающий программист (junior),Москва,70000.0,130000.0,True,RUR,Омега
112771151,Python-разработчик,Москва,,230000.0,False,RUR,KTS
112792214,Frontend-разработчик,Москва,200000.0,,True,RUR,ART 3D-Graphics
112627301,Персональный ассистент,Москва,200000.0,,False,RUR,Orion Solutions
111349601,Junior GO Developer,Москва,70000.0,,False,RUR,Effective Mobile
110802210,QA manual / QA engineer,Москва,120000.0,150000.0,True,RUR,Феникс
112510123,Главный бухгалтер,Москва,,250000.0,False,RUR,Мария Репина Юрьевна
110952392,Руководитель отдела по развитию бизнеса,Москва,,500000.0,False,RUR,Brainics
112051210,"Тестировщик (бэк, ручное тестирование)",Москва,80000.0,90000.0,False,RUR,KONNEKTU
112057928,Entry-level specialist with knowledge of English (Moscow),Москва,1000.0,2000.0,False,USD,Индгроз Сервис
112761759,QA Engineer,Москва,80000.0,100000.0,False,RUR,Перспектива
110113881,Бизнес-аналитик,Москва,120000.0,,False,RUR,СДС
110286826,Intern Data Analyst / Стажер - аналитик данных,Москва,100000.0,,True,RUR,Procter & Gamble
112042389,Менеджер по поддержке клиентов (удалённо),Москва,1200.0,,False,EUR,Wapi OÜ
112344023,Junior Golang-разработчик,Москва,100000.0,160000.0,False,RUR,RecruitTech
112551373,Middle-Frontend разработчик,Москва,180000.0,220000.0,False,RUR,Спортифаиндер
112762856,Android (Kotlin) разработчик,Москва,100000.0,200000.0,False,RUR,Восхождение
112773669,Head of PR,Москва,300000.0,,False,RUR,Lenkep recruitment
112494667,Главный бухгалтер в группу компаний,Москва,200000.0,260000.0,False,RUR,Media 108
111349843,Копирайтер,Москва,70000.0,,False,RUR,Comindware
112771250,Программист Java (backend),Москва,180000.0,230000.0,False,RUR,Кадровое агентство Аспект
111059850,Junior QA Engineer (тестировщик),Москва,,100000.0,False,RUR,Альбато
111198545,Специалист по тестированию,Москва,110000.0,,False,RUR,Уникальные Волоконные Приборы - Комплексные Системы
111628143,Python-разработчик,Москва,,240000.0,False,RUR,Антара
112355107,Программист-разработчик (Junior),Москва,30000.0,,False,RUR,Группа компаний «БПО»
110868149,Менеджер по продажам В2В,Москва,80000.0,130000.0,False,RUR,Селлематикс
112436992,Стажер DevOps-инженер,Москва,50000.0,,False,RUR,Эксайт Кит
112630641,Backend-разработчик PHP (middle),Москва,140000.0,180000.0,False,RUR,РСК
112537379,QA Тестировщик (desktop),Москва,80000.0,120000.0,False,RUR,КИТТ
112778043,IT - Project manager,Москва,130000.0,,False,RUR,Сайбертех
112347786,Тестировщик QA,Москва,100000.0,,False,RUR,Сайбертех
112738199,Android Developer,Москва,,550000.0,True,RUR,Offer Now
